English,Chinese
"We're also working on online courses in collaboration with Geeks College, Jisuanke, UAI, and UDACITY.","那么同时我们跟这个极客学院、跟计蒜客、这个UAI,然后还有像这个优达学院我们都在做这样的线上课程。"
"Moreover, we have teamed up with Beihang University to offer a course of PaddlePaddle deep learning at their software institute. ",同时我们跟这个北航也就是跟北航的这个软件学院的人工智能学院然后我们也做了一个这样的一个PaddlePaddle深度学习的一个这样的一个课程，对。
We will first promote these courses to the undergraduates and postgraduates of Beihang University.,然后会在跟北航的它的这个就是本科跟硕士生中间先去这个普及。
"In the future, we'll work with more training institutions.",我们未来还会跟这个这个更多的一些培训机构来合作，对。
We'll hold some deep learning contests with UAI and Kesci. ,那么同时我们跟这个UAI还有像科赛在做一些跟深度学习相关的一些竞赛。
"Through these contests, I expect that more developers can get inspired and step into the field of deep learning.",希望通过这样的一些竞赛能够激励更多的开发者参与到深度学习的这样这样的一个学习空间来。
"Moreover, we expect to collaborate with competent institutions and authorities to establish standards and certification systems for deep learning engineers.",同时我们也希望跟就是这样的一些这个机构包括更多的一些这个权威机构一起来联合来建设深度学习工程师的它的这个标准跟这个认证的体系，对。
"Baidu can provide support for the establishment of such standards and systems, including contents. ",那么百度在中间呢可以提供很多支持，包括内容方面的支持，对吧。
We offer an all-round tutorial that covers the fundamental parts and the more complicated ones. The tutorial also includes courses on model base.,我们提供这个就是这深度学习的这个就是从就是从浅到深的全方位的一个教程，包括这个模型库，对。
"As for the realization and financial support for PaddlePaddle, we are in discussion with Du Xiaoman Financial Education Credit.",然后基于PaddlePaddle的这个实现以及金融支持，这一块我们跟百度金融的这个教育贷，对，也已经就是在沟通。
Students can apply for our education loan to get an opportunity for education more quickly.,然后，如果然后对这些学生来说可以通过教育贷，对吧，先就是额这个这个提贷就是这个提供贷款，让他们能够更快地有这样的一个获得教育的机会。
We believe that there will be no problem for them to pay back their loans in the future if they are well trained in deep learning.,就是相信他们就是那一旦能够把深度学习学好之后，他们的这样的一个这个未来的这种偿还能力应该是非常好的也是。
We have held many events on campus together with Baidu Education to facilitate the implementation of these courses.,然后同时我们跟百度教育跟这个我们的就是我们校园体系，对，这个做的一系列活动，这包括它们那些渠道我们也可以帮助让这些课程去落地。
The deep learning platform of Baidu Cloud also serves as a platform for more developers to experience.,这同时我们这个百度云的深度学习平台，它们提供这个平台的支持，对，这个提供额让更多的这些开发者能够去做体验。
Baidu can provide R&D support through the National Engineering Laboratory for Deep Learning Technologies and Applications.,然后同时我们这个百度的这个国家深度学习技术与应用的这个国家工程实验室，对吧，也能够提供这个科研的支持。
We expect to share Baidu's resources and cooperate with institutes in each step of deep learning education.,所以，我们希望能够把百度这样的一个资源都把它给拿出来，然后跟这个我们整个深度学习教育的各个环节的这样的一些单位额去进行合作。
"With a comprehensive cooperation and an eduaction alliance, we hope to help more developers, including students, to become deep learning engineers that meet the needs of the society, individuals and enterprises.",然后希望能够通过这样的一个这个这个就是全方位的一个合作跟这样的一个联盟的方式能够帮助更多的这个开发者，额然后也包括学生，帮助他们真正成长为我们社会、我们个人、企业所需要的深度学习的这个工程师的一个群体。
So this is what we are trying to advance. ,所以这是我们额这个正在正努力推进的一个事情。
We also look forward to working with resourceful organizations in the training of AI engineers.,也非常欢迎这个就是在这个方面有资源、有条件的这些单位跟我们来合作。
"Next, I will briefly introduce the application of technologies on Baidu Open AI Platform, such as AFR, voice and image.",嗯，然后下面呢我把这个就是额这个百度AI开放平台上面的一些应用级别的能力，比如说人脸、语音、图像等等方面的能力做一个这个简单的介绍。
"Later, our colleague will introduce the applications and cases in detail to help you better understand and learn about how to apply and implement these technologies.","因为后面我们还有同事会额对每个方面做一些具体的，额就是它的应用啊,然后它的案例啊去进行介绍，然后去帮助大家更好的去理解，帮助大家更好地知道怎么样能够比较快的就能够把这些技术能够应用起来，然后能够这个真正能够落地。"
"Now, let's talk about the AFR technology.",比如说，我先说下人脸，对吧。
"In fact, Baidu's AFR technology is the most open of its kind in every way.",这个百度的人脸的这个技术其实是开放得最全面的。
"When we talk about AFR, we only know that it is just a facial technology.",因为我们平时说人脸的时候只知道人脸技术。
"Actually, it involves a set of capabilities consisting of face detection, face comparison, and liveness detection. ",其实人脸技术它是一整套的人脸，就是它是一整套的技术从人脸的检测到对比到查找到这个活体检测。
"The whole set of capabilities have been completely opened on the open AI platform, including interfaces, SDKs and many customizable functions. ",这样的一系列能力我们全部把它就是做了非常彻底的开放，包括接口、包括SDK，对吧。
All of these are now open-source on the platform.,然后包括大量的这种你可以去进行调节的这样的一个平台，对，这都是我们在开放的。
We also provide solutions for various scenarios.,对，那么而且同时我们也提供了这个就是面对多种场景下的解决方案。
Let's take online AFR-enabled ID verification as an example.,比如说这个在线的人脸核身的方案，对吧。
"In this hall, all of you have experienced the AFR sign-in.",比如说我们今天来这个会场，我们体验到了这个人脸会员签到的就是这个人脸会场签到的方案。
"As for membership verification. Later, one of our partners will elaborate on AFR-related solutions and their application.",对吧，包括这个人脸会员的这个识别的这个方案，我们今天会有一个我们的合作伙伴，会来介绍在这个方面的就是他们应用的情况。
The solutions also include the the auto-gate project enabled by face recognition.,这个包括人脸闸机的解决方案。
This is just a part of our solutions.,对，那么这也是我们一部分的方案。
We provide a concise interoperation procedure which can be carried out from interoperation to implementation within just three days.,这而且我们提供了非常这个简洁的这个对接流程，对，这个基本上从对接到落地就是三天之内就可以实现。
"In Shanghai, we have announced that the interface of our AFR technologies will be permanently free for small and medium-sized enterprises. ",然后，这同时我们在这个上海站的时候，其实也已经额这个宣布过我们人脸识别的接口面向中小企业是永久免费的。
Yes.,对。
"For developers and certified enterprises, we provide two QPSs and five QPSs for free permanently.",就是对于开发者跟跟做了企业认证的额这批企业来说，我们提供两个QPS和五个QPS的永久的免费，对。
"For corporate customers, we provide a guaranteed service in AFR.",然后对于企业级的服务来说我们也提供了这个这企业级的就是企业级的这样的一个服务保证，对，所以这是在人脸方面。
"Now, I'd like to present the OCR.",然后同然后这个第二个说一下我们的这个文字识别方面的这个能力，对。
"Since Baidu has processed a huge amount of Internet information in the past, it is reasonable to say that Baidu's OCR capability is second to none.",那么这个方面呢，由于这个百度在就过去大量地处理这样的一个互联网上的信息，那么在这方面的能力应该说是在业内是这个最强的。
"Many partners have adopted our OCR technology, and the number of our OCR developers grows the fastest.",对，就大量我们的合作伙伴这个都在应用我们的额这个文字识别的这样的一个这样的一个技术，那么我们额在文字识别方面的开发者的这个增长也是最快的，对。
Let's see some cases.,那么这边可以看到一些实例。
"Our OCR technology excels in the recognition of texts in web images, and receipt recognition.",比如说像有些这个互联网上的一些这种图片它的文字的识别我们现在也可以做得很好，包括一些单据的识别。
It also delivers great results.,对，这现在的有些效果也是额那也是非常好的。
"We know that there are many subdivisions in the realm of image recognition, such as fine-grained image recognition and image moderation.",那么这我们都知道在这个图像领域里面其实有很多这个细分的领域，比如说像这种细粒度的这个图像识别、这个图像审核，对。
"In the past years, Baidu has acquired vast technologies of content moderation when working on the Internet search engine.",那么这个方面在这个百度过去做搜索引擎做互联网上的这个内容的额就是这个判定的这个过程之间是有大量的积累的。
Now we have also opened these technologies.,我们把这样积累的技术也都全面地开放出来啦。
"In this way, the companies invovled in a large number of applications or contents on the Internet can quickly adopt these technologies or use the interfaces to meet the censoring requirements.",那么，对于大量的做这些方面的应用或者说做互联网的这个内容这个方面的这个就是额那么对公司来说都可以比较快的比较容易的能够调用它，就就能够调用这些接口，能够达到一个符合这个要求的一个审核的一个标准。
There is also an image-based searching platform which I won’t elaborate here.,然后还有像这样的这以图搜图的平台，对，那么这个我就不额再具体作介绍啦。
It can help enterprises in providing highly-customized image search services.,对，这个可以帮助很多企业做非常定制化的这样的这个图像搜索的一个服务。
"This is a customized image recognition platform, which is one of our main focus now.",还有这个定制化的图像识别的平台，对，那么这个其实也是我们现在在重点在做的一个方向。
We have found that there are a lot of highly distinctive scenarios where the image recognition cannot be trained in advance.,我因为我们发现大量的这样一个图像识别的场景其实还是额会就是会非常的独特，可能那不是预先就能够把它训练好的。
"So we provide a simple platform for people to upload their tagged pictures, then we can help them train the model.",那我们提供了一个非常简单的平台，让大家把做简单标注之后的图片这个上传之后，我们就能够帮助把这个把这个模型把它训练出来。
We also provide an environment for the deployment of the service to rapidly implement the OCR technology.,这而且去提供一个服务这个部署的一个环境，然后帮助这个这个需要做这个需要做图像自动识别的这样一些应用能够很快地就能落地。
"Based on the OCR technology, we have developed a video processing technology, including the analysis of video contents and selection of video thumbnails.",对，还有基于这个图像能力的这样的一些个视频的一个处理技术，包括视频内容的分析，这个视频封面的选图。
We have integrated these technologies into our video technology solutions on Baidu Cloud so that you will have easy access to them.,像我们这些能力在我们的这百度云的它的视频解决方案里面都做了完整的这个集成，大家都可以比较容易地能够得的到，对。
We have also got our voice technologies.,然后还有语音，对。
"In terms of voice technologies, Baidu has opened all its cutting-edge technologies because we value openness.",那么语音方面呢，其实百度是是一个非常开放也是一个非常的一个就是把百度最先进的这样的一个能力都做了全面的开放。
"In the last stop, we announced to permanently and freely open all the interfaces of Baidu's voice technologies.",这也是在上一站，我们也宣布百度全系列的语音的这样一些接口都永久的免费的开放出来，对。
"The voice technologies cover the three key aspects which are ASR, speech synthesis and voice wake-up.",那么对于这个语音来说其实包括语音的识别、语音的合成、语音的唤醒，额额这个语音的这个语音的唤醒，那么这个三个大的领域，对。
"What we've opened includes the technologies of low-volume voice recognition, meaning that even your whispers can be recognized.",那么我们现在额这个把它开放出来的包括你像这个耳语，就是所谓的耳语就是你非常小声音地去说话也能够做很好的识别。
"It can also recognize speech mixed with English and Chinese, languages like Madarin and Cantonese, as well as varieties like Sichuanese.",中英文的混合，方言，比如说普通话，对吧，英文、粤语，然后还有四川话等等这些方言我们都可以做很好的识别。
"In addition to short conversations, it can recognize long speeches, which can be very useful for making meeting minutes.",然后同时长语音的识别，在这些就是就是除了这个比较简短的这种这个对话以外，这个非常长时间的这种额这个长段的识别，在一些这种会议记录里面，对吧，这也可以做比较好的一个应用。
"We also have the far-field recognition, which is widely applied in smart hardware.",然后还有这个远场识别，在一些这种智能硬件的这个上面的应用是非常之多的。
And there is speech synthesis.,还有语音的合成，对。
"In this field, we have opened all capabilities for free permanently.",这块儿我们的所有的能力都把它做了完整的一个开放，这个而且是永久免费的这样的一个这样的一个这样的一个就是那么这样的一个开放状态，对。
"In this way, more developers can easily get access to these technologies. ",那么这个对于让更多的开发者能够非常简单地非常容易地获得这个技术是有很大的这个帮助的。
This is the purpose and expectation of Baidu AI Ecosystem.,那么这个也是百度AI开放生态的这样的一个我们的一个额这个宗旨跟跟希望。
This picture shows our partnerships of voice technologies in various fields.,这图是我们大量的一些额语音的在各个领域的呢里面的一些这合作伙伴。
"Of course, in terms of natural language processing which Baidu is especially good at, we have also opened a large quantity of NLP operators. ",当然还有像这百度额最擅长的自然语言方面我们这个开放大量的这个自然语言处理的一些算子，对。
I won't elaborate on it here.,那么这个我不具体介绍了。
"As for Baidu UNIT, our architect Mr. Sun Ke will bring a detailed introduction later.",然后这个额还有这个百度UNIT那么这个这待会儿我们的额就是这我们的架构师，对，孙珂他也会对这个方面做一个具体的介绍，对。
Baidu UNIT is a leading platform in China for training and developing machine conversation.,那么其实百度UNIT应该是国内现在最领先的一个这个机器人对话训练跟开发的一个平台，对。
"With simple configurations on this platform, you can develop applications with robots who can communicate with people automatically.",那么大家也可以利用这个平台通过一些简单的配置就可以去实现一个机器人这个自动对话的这么一个应用，对。
"The platform helps to quickly realize a large quantity of applications, such as smart hardware or online intelligent customer services.",那么这个对于大量的应用里面比如说像这种比如说像这种啊智能硬件或者是什么在线的智能客服等等，都能够通过这个平台能够比较快的就能实现，对。
One of our partners is here today to talk about how he applies UNIT to implement a plurality of functions.,这今天我们还有一个合作伙伴，对，他也会讲一讲他是怎么用UNIT去去这个实现他的产品里面的这个大量的功能的。
There are also solutions for robot vision processing of which we gave a presentation specifically during our tour in Chengdu.,还有像那个机器人视觉解决方案，这个我们在成都站的时候我们有专门进行过讲解，对。
"More than that, for example, Mr. Wang talked about our AR Open Platform, which was presented in Hangzhou.",额还有很多，比如说刚才王老师讲到的我们的AR的开放平台，对吧，我们在这个杭州站的时候曾经这个做过介绍。
"We also have the machine translation platform, which has a long history and has been widely used in the entire industry.",还有我们的像我们就是这机器翻译的平台，其实机器翻译的平台它的这个历史也是这个比较久啦，这现在在整个业在整个业界的就是在一个调用量来说就使用范围来就是都是非常大的，对。
"Moreover, we have the Smart Open Platform for Data.",还有数据这智能开放的平台等等这些。
"As we can see, Baidu Open AI Platform really has a variety of technologies.",所以可以看到说百度额AI开放平台上面的能力真的是相当的丰富，对。
"Besides these abilities, we provide an environment for development, learning, and communicating, like our AI Forum, PaddlePaddle, and communicating platform in GitHub where you can exchange ideas with other developers.",然后除了这些能力以外呢，我们同时还提供了我们这个开发、学习、交流的环境，比如说AI论坛，比如说我们PaddlePaddle，再一个是github上的这个论坛的的的的这样的一个交流平台，然后就大家都可以在里面去跟更多的这个开发者去交流。
A self-service function is now baiscally available on our AI Forum. ,像我们现在的额这个AI社区里呢我们基本上已经实现了一个这个自服务。
Many new developers became moderators or mentors on the forum to guide more developers and students.,对，这大量的一些额新来学习的这些开发者他们都已经当了版主，对吧，这当了老师，然后去指导这个更多的一些开发者跟学生去进行学习。
"Meanwhile, you can except more from Baidu than just technologies, since many developers including our partners have not owned their exclusive brands or technologies yet.",对，但是同时呢我们也看到说除了提供技术以外我们觉得还不够，因为很多开发者他们就包括额就包括合作伙伴他们还缺少品牌，这个缺少技术，对。
So we have launched Baidu AI Ecosystem Partner Program in Shenzhen.,然后我们在所以我们在深圳的时候也推出了这个燎原计划。
"This program aims to provide support in terms of customer resources, marketing activities, corporate operation and investments in addition to technologies.",我们燎原计划其实是希望除了这个技术以外还推出还在客户资源、这个营销、企业运作、投资支持等多个方面去提供支持，对。
We'll also select excellent partners to join our AI Accelerator Program.,那么我们对于跟我们这个合作的这个合作伙伴额这个其中比较这个优秀的我们还选择他们进入我们的AI的这个加速器，对。
We'll launch this program later on today.,那么这也是这待会儿额就是我们今天会这个开营的这样的一个这样的对那么这个内容。
Baidu AI Ecosystem Partner Program is basically solution-oriented. ,对吧，那么对我们的这个燎原计划来说，对，我们基本上是就是面向解决方案。
We hope that the companies in the industry chain can join and collaborate with us.,跟产业链上的这些厂商希望他们就是一起来跟我们参与到这样的一个这个整个的这样的一个合作中间来。
"We provide a variety of resources, such as technological resources, joint branding and customer sharing.",对，我们提供这个资源就是提提提供这个包括这个技术资源、品牌共建，客户的这共享等几个方面的这个这个支持，对。
I won’t go into details on the Accelerator Program which will be presented later by my colleague.,那么这个加速器我就不多讲了，这对这待会儿我们有同事专门做介绍。
"We hope to build the most open, well-rounded and fairest AI technological ecosystem in 2018.",对，所以我们希望在2018年真正的是去这个打造一个最最开放、最平等、最贴心的一个AI的这个技术生态，对。
"We also hope to work with partners to train more deep learning engineers, and help more start-ups.",我们希望跟我们的这个合作伙伴能够真正这个携手起来，我们培养更多的深度学习的这个工程师，我们帮助更多的创业企业。
This is our vision for the AI technology ecosystem.,对，这是我们的一个这个AI技术生态的一个这个愿景。
These are some partners that have joined our community recently.,对，那么这是我们额在就最近一段时间这个以来，然后这不断这个加入到我们的这个群体里面的这样的一些这个合作伙伴，对。
And I feel really honored today to have some representatives of our partners to join us today. ,这而且今天我们也非常的有幸，然后额有这个邀请到我们合作伙伴里面的一些代表来到我们这个现场。
We'll award them with our partnership certificate later.,我们待会儿将现场额给他们授予我们的合作伙伴的这样的一个证书。
"That's all, thank you!",好，谢谢！
"I know this place at my fingertips, the venue of Expo 2010.",这地方我太熟悉了，世博会。
"Six years ago, I did a great number of interviews here.",六年前我在这儿做了很多的采访。
"And today, my topic is also related to the theme of the exposition, ""Better City, Better Life"" .",但是，我今天所要谈论的话题，真的是跟我们世博会的主题是有关的，叫“城市让生活更美好”。
But is it true that a better city brings a better life?,但是城市，真的能让生活更美好吗？
"Hence, I named my speech ""Cooperation or Confrontation"", which may be odd to you.",所以我起了个名字，这个名字可能你看起来有点奇怪，叫“合作，还是对抗”。
"Six years ago when Expo 2010 was widely publicized, there was another grave news which you may forget, and the news was lasting for a whole year.",六年前就在我们报道世博会的时候呢，其实诸位可能忘了吧，当年也有一个非常重要的新闻，发生了持续的一年。
"The news happened to a quite well-known company, Foxconn.",它发生在一个非常著名的公司，叫富士康。
"At that time, over a dozen Foxconn's employees jumped to their death one after another.",富士康连续出现了十几连跳。
"Not only at its headquarters in Shenzhen, but also at its plants in many other regions, such as Langfang, Hebei and Sichuan, many of its employees jump off a building.",而且这十几连跳不仅是在深圳的总部，它在它的廊坊，河北廊坊，在四川，在很多地方都出现了员工的跳楼。
"As a journalist, I wanted to look into the news so I paid a special visit to Foxconn.",我作为一个记者，要对这个事情进行一番关注，于是我专门去了富士康。
"We all know that all the plants of Foxconn in spite of different locations share the same feature, the huge number of workers.",富士康我们知道，不同地方的厂区都有一个特征，人很多。
I visited one of its plant in Shenzhen and found a surprising number.,在深圳的一个厂区，我进入了以后，这个数字让你吓得惊人。
"There were 420,000 employees.",它竟然有42万人。
"420,000 workers lived and worked in a giant Foxconn plant.",42万人在一个巨大的富士康厂里面在居住。
"We often suspected that Foxconn might be cruel to its workers, offering them slender salaries, forcing them to manage heavy workload, or ruling them with an iron fist.",我们总在说富士康是不是因为是一个黑心工厂啊，它这个给的工资很低啊，工作强度很大啊，监管很严哪。
"However, I would like to tell you, the suspicion against Foxconn is disproved.",我跟您说，您可能还真的误解了富士康。
Foxconn in fact offers great benefits to many employees.,富士康其实对很多员工的待遇还不错。
"It even prepares very professional swimming pools for many employees, and free art centers, cost-effective canteens, many convenient cinemas and stores as well, so that plenty of employees can enjoy a better life.",它甚至还为很多员工准备了非常专业的游泳池，可以免费的文艺中心，极其廉价的食堂，还有很多非常方便的电影院和小卖部，都可以让很多的员工，去进行的他们的生活。
"While many media were talking about the potential deprivation that Foxconn did to its workers, I carried out an in-depth investigation and came to a conclusion.",所以在所有记者都在说富士康可能会存在那样那样的压榨工人的情况下，我对富士康做了一个更深入的调查。
"Of course my conclusion couldn't cover all the reasons behind the jumps, but I think it may be one of the factors.",当然我得出的一个结论，不能够涵盖那十几连跳所有的原因，但是我认为它可能是一个原因。
"Have you noticed that the majority of the 420,000 residents of  the Foxconn city were post-80s and post-90s.",诸位你们有没有注意到，一个拥有四十二万人的富士康城里面，大多都是八零后和九零后。
"To my knowledge, people who live in such city for long would know nothing but competition and confrontation.",我认为，人们在这样的城市呆的时间长了，它只有竞争，只有对抗。
A real nice city should have the feature of being age-friendly.,在真正的一个好的城市当中，我们形容有一个词汇叫age friendly。
"Literally, it means being nice to all age groups.",叫年龄友好型。
"An age-friendly city should consist of elders, young adults and children.",也就是说一个城市当中应该有老人，有青年人和孩子。
"If the senior find it despondent, the moment when they see children, they see hope.",当老年人觉得绝望的时候，他会看到孩子、看到希望。
"If they are pessimistic about their life, on the verge of breakdown, young adults would realize that everyone can ride out the storm when seeing elders.",当青年人感觉到自己生活遇到悲观，让自己觉得觉得也有点崩溃的时候，他看到老人，他会觉得那样多的沧桑，不也度过了吗？
Being age-friendly is an important philosophy of governing communities as well as cities.,Age friendly这是一个重要的社区的治理的理念，也是一个城市的重要的理念。
"My aunt passed away, hmm, two months ago.",我的姑姑前两嗯前两个月去世了。
"She used to be cheerful and helpful, willing to help neighbors with all kinds of problems.",她曾经在社区里是一个非常愉快的、乐于助人的、愿意管街坊邻里各种闲事儿的。
She played a very active role in her community.,诶街道的积极分子。
"Later, arranged by the family, she lived in a nursing home.",但是当我们给她安安排在养老院去居住的时候。
"I met her after she had been in nursing home for six months, and she seemed like a different person.",半年以后她遇到我，她状态跟以前完全不一样。
"She sighed: ""Luo Xin, human are doomed to die, and I will die sooner or later.""",她跟我说：“哎呀，这骆新啊，人反正是都是要死的，我早晚是要死的。”
She said so because two of her four roommates had gone successively.,因为跟她同一个屋子的四个老人，已经有两个先后去世了。
The death indeed had an impact on her.,这对她来说，难道不是一种影响吗？
"Likewise, the 420,000, or even millions of, young workers in Foxconn were trapped in a similar situation.",同样，四十二万人所在的富士康，甚至是几百万人所在的富士康。
"The young residents may be haunted by competition, for they can't see elders or kids but only competitors.",这里面所有的年轻人，他们想到的可能更多的，他看不见老人看不见孩子，他们看到的只有他自己的竞争者。
The only ambition of competitors is to win.,竞争者所面临的唯一的那就是我要赢过你。
"Probably, the victims felt abandoned and valueless due to a lost opportunity, a lost game or even the criticism from leaders.",谁能说那十几跳的员工们不存在着由于他们失掉了某种机会，输掉了某一场比赛，甚至被领导给骂了一番，他觉得他被抛弃和被放弃了。
Do you know what is the greatest pain for human beings?,各位，你们知道人的最大痛苦是什么吗？
It is not death.,不是死亡。
"The first is feeling guilty, and the second is feeling abandoned and valueless.",第一痛苦，愧疚，第二痛苦，被抛弃和被放弃。
"Therefore, the city we are going to talk about today is the current physical environment we live in, a visible city.",所以我们今天要探讨的这城市，就是我们今天所生活的这样的物理环境，那是你看得见的城市。
"When you stand in front of an enormous plant or a towering building, do you ever feel that you are so small and of no account?",所以当你在一个巨大的厂房里面或者在一个巨大的高楼面前，你有没有一种感觉，你觉得你自己很渺小，你很不重要。
"If you are asked to choose between New York and Hawaii as a place of residence, I bet most would prefer the latter.",如果一定要让你在纽约哼跟夏威夷选择一个居住地的话，我相信很多人更愿意选择夏威夷。
"There, in Hawaii, without many high rises, people may retain their human dignity.",因为在那里没有太多多高楼大厦，在那里可能人们他有一种人的尊严感。
"In 1961, famous Jane Jacobs, an American-Canadian lady, published her book, The Death and Life of Great American Cities.",在1961年，有一位非常著名的、美国的也是后来加入加拿大国籍的叫简·雅各布森，这个老太太写了本书叫《美国大城市的死与生》。
"In her work, Jane Jacobs for the first time criticized metropolises and non-age-friendly cities.",这本书，简·雅各布森第一次对大城市，包括对那种缺乏age friendly的城市提出了批评。
She argued that those cities are unfavourable to human survival.,她认为这样的城市，不利于人们的生存。
"For instance, Jane Jacobs visited many CBDs specially.",举个例子，简·雅各布森专门到了很多的CBD去看了一下。
She realized that CBDs were packed with workers at daytime yet empty at nights. No one stay in CBDs over night.,她发现CBD啊，白天人山人海，所有人都在工作，但到晚上CBD没人了，成了一座空城。
"Furthermore, many service providers, and small and middle-sized companies as well, saw CBDs as opportunities.",不仅如此，而且很多的服务商，包括中小企业和服务者们都认为CBD这是个机会。
"Thus, restaurants, print stores and laundries entered CBDs.",所以餐馆进驻了、打印店进驻了、洗衣房进驻了。
"Unfortunately, before long, restaurants, laundries and other service providers left CBDs.",可是都坚持不了多久，这些餐馆、洗衣房和服务商门纷纷都撤出CBD。
Why?,为什么？
"Everyone, do you know why?",各位，你们想过吗？
Not only the high rents but also the periodic traffic in CBDs resulted in their withdrawal.,不仅是因为房屋价格高，因为CBD这个地方具有人的潮汐的周期性。
Most people go to CBDs by day for work and leave after 5pm.,大量的人是白天来这上班，五点钟以后就离开了。
"Look, this is a CBD in Beijing, Dabeiyao.",你看，这是北京的CBD，大北窑。
"During the Chinese New Year holidays, Dabeiyao keeps this status for ten days.",春节期间它长期保持十天这样的情况。
"Hence, a lot of small and middle-sized companies in CBDs can generate revenue with high markups, but they can only do it once a day.",所以大量的中小企业在这里生活它只能挣到一笔钱，可能这笔钱利润很高。
"Restaurants, laundries and print stores can make money during days but have nothing to do at evenings and nights.",但它只能挣到一顿饭的钱，一次洗衣的钱，一次复印的线，它想到晚上，它没有事儿干了。
There are many small restaurants in urban residential areas.,本来我们在城里很多的小的餐馆，
"Those restaurants offers not only lunches but also dinners, midnight snacks and even breakfasts.",它也许除了你中午做一顿饭，如果你在居民区的话，它还有晚餐、还有夜宵、甚至还有早点。
The restaurants in CBDs realized that in spite of high profits the business hours is too short.,但是这些企业就觉得，固然它的利润高，但是它的整体的营业面儿并不高。
"In other words, in terms of a special concept in the property development industry, their average revenue per unit area is too low.",换句话说，我们用今天的一个房地产商的特殊概念叫频效，它的单位的频效太低了。
"Jane Jacobs thought that was why the life in many American cities, such as Chicago and New York metropolitan area, was expensive but lifeless.",简·雅各布森认为，这是导致美国很多像芝加哥、纽约中心城区最后终于走向昂贵，但却缺乏活力的原因。
"She also suggested that now that there are many streets and squares in cities and these streets and squares should serve workers by day and all citizens during non-working hours, including the old and the young.",雅各布森还说了一个问题，她说我们有很多街道，有很多广场，其实这个广场啊和街道的利用应该是白天上班的人用这条马路，但是到白不上班的时候可能会说有一些嗯年年老者。
Young adults could have a walk with their parents and kids on the streets or in the squares.,年轻人会带着自己的父母、带着自己孩子在马路上转一转。
"Nevertheless, many streets have only one function, serving commuters.",但你会发现有很多马路，它的功效只有一个，就是上班儿。
They just lead commuters to office places.,我每天都在这通勤，只有这一项功能。
Cities have another feature.,当然作为城市还有另外一个特征。
This is a photo of the Red Square in Moscow taken by me.,你看这是我在莫斯科红场所拍的一张照照片。
We all know that every city has squares and squares play a special role in cities. ,我们都知道这个城城市得有广场。
They are the embodiment of the city.,广场得得特别需要体现出一个城市的标志。
But Jane Jacobs believed that many urban squares didn't fit in with human needs.,但简·雅各布森认为有很多这个城市的广场，它不符合人的尺度。
"Mr Liang Sicheng once said to Mao Zedong that the idea of Tiananmen Square was viable, but the size was too big.",梁思成先生当时对毛泽东曾经说过一句话，说你要建天安门广场可以建，但是这个广场太大了。
He reckoned that except for political purposes such a big square could not offer any benefits to ordinary citizens because it didn't meet human needs.,我认为除了政治公用之外它几乎没有什么可以创造我们普通人在上面去进行活动的机会，因为它不符合人的尺度。
The Red Square is not big but still suitable for various military parades.,红场并不大，但是它同样可以接受各种各样的阅兵。
I took the photo with a wide angle lens.,但是你平常要去的话，我这张照片儿还是用的广角拍的哦。
"If you visit the Red Square by person, you may be surprised by its small size.",其实你真到红场你会发现红场真小。
It can't even rival any square in China.,它比不上我们国内任何一个广场。
"But the Red Square is full of vitality, surrounded by plenty of ancient buildings.",但是它有人气儿，再者说它旁边还有很多的古老的建筑。
Don't you feel pleasant when you live in and walk around in the building?,你在这个建筑当中生活，走动，你觉得难道不舒服吗？
"Meanwhile, today's cities lay too many emphases on expressway which is prepared for vehicles.",当然还有一点，我们今天的城市太强调快速通道了，快速通道完全是为了汽车所准备的。
What about pedestrians?,行人在哪儿呢？
What about bicycles?,自行车在哪儿呢？
What about electric motorcycles?,电动车在哪儿呢？
And what about motorbikes?,摩托车在哪儿呢？
"No, they are not the service objects of expressway.",都没有啊。
The point is that many major expressways actually undermine the only remaining links in cities.,而且关键是我们很多大的通道是把一个城市本来仅连的这个基底给割断了。
The Madrid of Spain built a ring expressway circling the old city.,在西班牙马德里曾经修了一个环，原来老城的一个高速通道。
Many thought the ring expressway hindered the communication between residents.,但是很多人认为这个通道，阻碍了居民之间正常的交往。
"Say, a grandpa lived in this area, while his grandson lived in another area.",爷爷在在在这儿住，孙子在那儿住。
"They couldn't visit each other as frequently as they used to do because of the ring expressway, thus leading to the weakening ties between families and friends.",结果这个大通道一旦修完，他们以以往所有的沟联都减少了，甚至导致了家人跟亲情和朋友之间的感情变得疏远。
"The Madrid government responded to the public's appeal, removed the ring expressway and built an underground expressway so that the ties in the city was recovered.",马德里市政府，从善如流，把这个环城公路修了拆掉，让它全部从地下走，又重新恢复了整个城市的弥连。
"There is an avenue in Shanghai which I regard as a failure, the Century Avenue.",我们上海有一条大马路，我认为是一个失败的建筑，世纪大道。
"If you go across the avenue, guess how long does it take?",你从这地方过红绿灯走那个地方，你想你花得得花多长时间？
One minute.,一、一分钟。
Beijing built two avenues traversing from east to west to achieve rapid transit.,北京曾经为了进入它的快速交通，它曾经修了两条横贯东西的大通道。
One is Liangguang Avenue; the other is Ping'an Avenue.,一个叫两广大道，一个叫平安大道。
